COD_PRODUTO;PRODUTO;GRUPO;SUBGRUPO; ULTIMO_CUSTO ;REFERENCIA;MARCA;COD_BARRAS;NCM;DESCRICAO_RESUMIDA;CEST;COD_BARRAS_NF
111277;QUEBRA-CABECA 200PC FADAS 2119 - TOYSTER;BRINQUEDOS;QUEBRA-CABECA; R$ 12,50 ;2119;TOYSTER;7896054021190;95030070;#QC 200PC FADAS 002119;;
111278;QUEBRA-CABECA MONTANDO O ALFABETO 26 PCS FROZEN - TOYSTER;BRINQUEDOS;QUEBRA-CABECA; R$ 13,12 ;2144;TOYSTER;7896054021442;95030070;#FROZEN - QC.26PCS MONTANDO O;;
111372;ROUPAO ESSENCE LISO TAUPE/GRANDE - NIAZITEX;CAMA MESA E BANHO;ROUPOES; R$ 25,15 ;04000019TAU00G;NIAZITEX;7899967034547;61089200;ROUPAO ESSENCE LISO TAUPE/GRAN;;
111288;CADERNO UNIV|ESP|CD|200FLS SPORT- JANDAIA;MATERIAIS;CADERNOS; R$ 6,52 ;52663;JANDAIA;7894494526633;48202000;CADERNO UNIV|ESP|CD|200FLS SPORT- JANDAIA;1902100;
111373;O PODER DA AUTORRESPONSABILIDADE: LIVRO DE BOLSO - GENTE;LIVROS;ADM E NEGÓCIOS; R$ 12,50 ;9,78855E+12;GENTE;9788545202219;49019900;O PODER DA AUTORRESPONSABILIDADE: LIVRO DE BOLSO - GENTE;;
111374;BICHINHOS DO BANHO BABY 1000 - ANJO;BRINQUEDOS;BICHINHOS; R$ 6,59 ;1000;ANJO;7898064923754;95030039;BICHINHOS DO BANHO BABY;;
111342;DOMINO PRINCESAS DISNEY - TOYNG;BRINQUEDOS;JOGOS; R$ 17,82 ;27411;TOYNG;7899871600746;95030099;DOMINO PRINCESAS 6PC UFLE 0274;;
111291;JOGO FISGA PEIXE 7327 - PAIS E FILHOS;BRINQUEDOS;DIVERSOS; R$ 1,93 ;7327;PAIS E FILHOS;7896647073278;95030080;FISGA PEIXE 7327.1;;
111296;DOMINO MICKEYCLUB HOUSE 18976 - XALINGO;BRINQUEDOS;DIVERSOS; R$ 9,67 ;18976;XALINGO;7896640418977;95030099;DOMINO MICKEYCLUB HOUSE 18976;;
111345;LANCADOR DE AGUA HOMEM ARANHA - TOYNG;BRINQUEDOS;DIVERSOS; R$ 21,37 ;30381;TOYNG;7899871603259;95030099;LANCADOR DE AGUA HOMEM ARANHA;;
111375;UNICORNIO - ANJO;BRINQUEDOS;BICHINHOS; R$ 10,18 ;2069;ANJO;7898064925475;95030039;UNICORNIO;;
111299;QUEBRA-CABECA PROGRESSIVO CARTONADO MAGALI 10765 - XALINGO;BRINQUEDOS;DIVERSOS; R$ 9,84 ;10765;XALINGO;7896640431402;95030070;QUEBRA-CABECAS PROGRESSIVO CAR;;
111352;LANCADOR DE FOGUETES HOMEM ARANHA - TOYNG;BRINQUEDOS;DIVERSOS; R$ 17,98 ;31239;TOYNG;7899871603983;95030099;LANCADOR DE FOGUETES CAIXA HOM;;
111354;LANCADOR DE AGUA PNEU CARROS 3 - TOYNG;BRINQUEDOS;DIVERSOS; R$ 30,18 ;31140;TOYNG;7899871603891;95030099;LANCADOR DE AGUA PNEU CARROS 3;;
111403;VINHO 750ml FINO TINTO SECO MERLOT - CASA PERINI;CONVENIENCIA;BEBIDAS; R$ 34,98 ;800100005;CASA PERINI;7896452104464;22042100;VINHO 750ml FINO TINTO SECO MERLOT - CASA PERINI;202400;17896452104294
111378;BONECA SISSY BABY - ANJO;BRINQUEDOS;BONECAS(OS); R$ 3,74 ;2066;ANJO;7898064925444;95030022;SISSY BABY;;
111385;GIBRALTAR TAÇA 340ml P/ AGUA 5247;BAZAR;UTILIDADES DOMÉSTICAS; R$ 6,33 ;19130;GLOBIMPORT;31009557059;70132800;GIBRALTAR TAÇA 340ml P/ AGUA 5247;1400100;
111386;GIBRALTAR TAÇA 473ml GOBLET 5252;BAZAR;UTILIDADES DOMÉSTICAS; R$ 9,18 ;19128;GLOBIMPORT;31009514939;70132800;GIBRALTAR TAÇA 473ml GOBLET 5252;1400100;
111404;ESPUMANTE 750ml MOSCATEL - CASA PERINI;CONVENIENCIA;BEBIDAS; R$ 29,99 ;800152004;CASA PERINI;7896452112506;22041090;ESPUMANTE 750ml MOSCATEL - CASA PERINI;202400;17896452112022
111405;FRONHA AVULSA ACONCHEGO - CLAMATEX;CAMA MESA E BANHO;DIVERSOS; R$ 2,90 ;132;CLAMATEX;7898382360132;63021000;FRONHA AVULSA ACONCHEGO;;
111413;LANCADOR DE BOLAS CARROS 3 - TOYNG;BRINQUEDOS;DIVERSOS; R$ 29,91 ;30766;TOYNG;7899871603594;95030099;LANCADOR DE BOLAS CARROS 3 6PC;;
112514;CUMBUCA CANELADA MEDIA 310ML - TERRAMADA;UTILIDADES DOMÉSTICAS;LOUÇAS; R$ 5,17 ;T11-310;TERRAMADA;7898637110185;69111090;CUMBUCA CANELADA MEDIA 310ML;1800200;
111474;COMER PARA NAO MORRER - INTRÍNSECA;LIVROS;AUTOAJUDA; R$ 53,94 ;9,78855E+12;INTRÍNSECA;9788551001851;49019900;COMER PARA NAO MORRER - INTRÍNSECA;;
111538;VASO - UH080015 - TECNOSERV;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 19,80 ;UH080015-0;UNIK HOME;2010000006627;70139900;(ARIANE/349701/1) ARTIGOS DE V;1400100;
111541;VASO - UH080068 - TECNOSERV;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 20,74 ;UH080068;UNIK HOME;2010000006849;70139900;(ARIANE/349701/4) ARTIGOS DE V;1400100;
111542;BANDEJA DE VIDRO - UH150014 - TECNOSERV;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 11,17 ;UH150014-0;UNIK HOME;2010000006658;70139900;BANDEJA DE VIDRO - UH150014 -;1400100;
111543;ESTOJO HOT WHEELS 17Z COLORIDO 064600-00 - SESTINI;MATERIAIS;ESTOJOS; R$ 3,82 ;17154;SESTINI;7899864413780;42023200;ESTOJO 02 COMP HOT WHEELS 17Z ;;
111556;TEMPESTADE DE GUERRA - SEGUINTE;LIVROS;INFANTO-JUVENIL; R$ 53,94 ;9,78856E+12;SEGUINTE;9788555340550;49019900;TEMPESTADE DE GUERRA - SEGUINTE;;
111550;PETISQUEIRA MONACO 2 EM 1 - RUVOLO;BAZAR;DIVERSOS; R$ 27,28 ;80600;RUVOLO;7899619903634;70134900;PETISQUEIRA MONACO 2 EM 1;1400100;
111553;CALCULADORA BOLSO TC03 ROSA CLARO - TILIBRA;MATERIAIS;CALCULADORAS; R$ 23,66 ;223620;TILIBRA;7891027283049;84701000;CALC BOLSO TC03 RS CL BL 78910;;
111574;MINI PELUCIA SURPRIZAMALS SERIE 2 - TOYNG;BRINQUEDOS;DIVERSOS; R$ 14,60 ;36178;TOYNG;7899871607615;95030031;MINI PELUCIA SURPRIZAMALS SERI;;
111581;TABUA RETANGULAR COM CABO 13236/052 - TRAMONTINA;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 18,95 ;13236/052;TRAMONTINA;7896403771950;44199000;TABUA RETANGULAR COM CABO 400X;;
111589;FACA CARNE INOX ATHUS 23084/105 - TRAMONTINA;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 4,10 ;23084/105;TRAMONTINA;7891112153035;82119210;FACA CARNE INOX 5 ATHUS 230841;;
111625;FATIADOR DE LEGUMES EM ESPIRAL - UNY GIFT;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 4,82 ;UD170720;UNY HOME;7899670804659;82055100;FATIADOR DE LEGUMES EM ESPIRAL;801000;
111626;ESPATULA DE SILICONE - UNY GIFT;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 3,12 ;SU171306;UNY HOME;7899670806257;39241000;ESPATULA DE SILICONE;1400600;
111620;ABAJUR MINI DE TOMADA MIRACULOUS LADYBUG 110V - ART BRINK;BAZAR;DIVERSOS; R$ 9,67 ;34245;CLINK;7899658371616;0;ABAJUR MINI DE TOMADA MIRACULO;;
111628;COLHER DE SILICONE - UNY GIFT;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 3,63 ;SU171308;UNY HOME;7899670806271;39241000;COLHER DE SILICONE;1400600;
111697;JARRA MATELASSê EM VIDRO 1L VIOLETA - 22021 FULL FIT;BAZAR;UTILIDADES DOMÉSTICAS; R$ 17,38 ;22021;FULL FIT;7893220214981;70134900;JARRA MATELASSê EM VIDRO 1L VI;1400100;
111631;BATEDOR DE OVO DE SILICONE - UNY GIFT;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 2,07 ;AS016;UNY HOME;7899670800255;39241000;BATEDOR DE OVO DE SILICONE;1400600;
111633;GALHETEIRO 4 PCS + SUPORTE - UNYHOME;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 25,12 ;UD171903;UNY HOME;7899670805786;73239900;GALHETEIRO 4 PCS + SUPORTE;;
111634;FORMA PARA TORTA DE METAL - UNY GIFT;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 3,27 ;UD14055;UNY HOME;7899670813149;73239900;FORMA PARA TORTA DE METAL;;
111635;FORMA DE SILICONE PARA GELO - UNY GIFT;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 2,11 ;SU15002;UNY HOME;7899670801115;39249000;FORMA DE SILICONE PARA GELO;;
111698;JOGO 6 TAÇAS 310ml PARA SOBREMESA MATELASSê EM VIDRO AZUL - FULL FIT;BAZAR;UTILIDADES DOMÉSTICAS; R$ 32,63 ;22035;FULL FIT;7893220215124;70132800;JOGO 6 TAÇAS 310ml PARA SOBREMESA MATELASSê EM VIDRO AZUL - FULL FIT;1400100;
111738;FACA PARA CHURRASCO BRISA  INOX CABO PP PRETO -TRAMONTINA;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 0,89 ;23150404;TRAMONTINA;7891112145801;82119100;FACA PARA CHURRASCO BRISA  INOX CABO PP PRETO -TRAMONTINA;;
111699;REFIL DE TINTA T504120 PRETO 127 ML EPSON - BRAILE - 11231;ESCRITÓRIO E INFORMÁTICA;SUPRIMENTOS; R$ 52,27 ;11.231;EPSON;10343938748;32151100;GARRAFA DE TINTA T504120 PRETO;;
111701;REFIL DE TINTA T504320 MAGENTA 70 ML EPSON - BRAILE - 11275;ESCRITÓRIO E INFORMÁTICA;SUPRIMENTOS; R$ 45,10 ;11.275;EPSON;10343938762;32151900;GARRAFA DE TINTA T504320 MAGEN;;
111702;REFIL TINTA 504 70ml AMARELO - EPSON;ESCRITÓRIO E INFORMÁTICA;SUPRIMENTOS; R$ 47,56 ;T504420;EPSON;10343938779;32151900;REFIL TINTA 504 70ml AMARELO - EPSON;;10343938779
111739;FACA PARA CHURRASCO BRISA INOX CABO PP BRANCO - TRAMONTINA;UTILIDADES DOMÉSTICAS;DIVERSOS; R$ 0,89 ;23150484;TRAMONTINA;7891112145832;82119100;FACA PARA CHURRASCO BRISA INOX CABO PP BRANCO - TRAMONTINA;;
