POSICAO;SCORE;ACAO;COD_PRODUTO;PRODUTO;MARCA;GRUPO;CUSTO;PRECO_PRA_COMPETIR;SOBRA_RS;SOBRA_PCT;VISITAS_JANELA;VISITAS_DIA;TENDENCIA;CONCORRENTES;LOJAS_OFICIAIS;ANUNCIOS_MEDIDOS;PRECO_NA_ANALISE;SOBRA_PCT_NA_ANALISE;TIER;VERIFICACAO;POR_QUE;URL_CATALOGO;URL_CONCORRENTE
37;70;ANUNCIAR JA;154279;MARCADOR CRIATIVO 0.7/2.5mm MULTIMARK SHAKE&PAINT CROMADO PRATA 822 - FABER CASTELL;FABER-CASTELL;MATERIAIS;26,53;65,90;25,29;38,4;137;2,28;caindo;1;0;1;65,90;38,4;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB38277537;https://produto.mercadolivre.com.br/MLB-5008504864
38;69;ANUNCIAR JA;136877;CANECA TERMICA DE CERVEJA 709ml FLAME RED - STANLEY;STANLEY;BAZAR;63,24;170,00;36,93;21,7;1588;26,47;subindo;9;0;3;170,00;24,8;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB19610042;https://produto.mercadolivre.com.br/MLB-2933605612
39;69;ANUNCIAR JA;146840;GARRAFA TERMICA MUNDIAL 1L PRETO - TERMOLAR;TERMOLAR;BAZAR;21,86;51,90;14,66;28,2;852;14,20;subindo;9;0;3;37,88;13,6;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB11427618;https://produto.mercadolivre.com.br/MLB-4917732553
40;69;ANUNCIAR JA;148008;MALA DE BORDO 10Kg/20'' PRETO - MOMENT;C3B;BAZAR;49,95;244,43;119,63;48,9;291;4,85;caindo;4;0;3;244,43;49,7;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB32790866;https://produto.mercadolivre.com.br/MLB-6616355946
41;69;ANUNCIAR JA;121814;FAQUEIRO 30PCS IPANEMA TURQUESA-SORTIDOS COM LAMINAS DE ACO INOX CABOS DE POLIPROPILENO - TRAMONTINA;TRAMONTINA;UTILIDADES DOMÉSTICAS;34,69;89,04;13,39;15,0;29920;498,67;subindo;4;0;3;89,04;15,8;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB32543428;https://produto.mercadolivre.com.br/MLB-5411432004
42;69;ANUNCIAR JA;112178;CANETA ESF 0,5mm POINTBALL PRETA 6030/46 - STABILO;STABILO;MATERIAIS;7,22;24,50;7,96;32,5;173;2,88;subindo;1;0;1;24,50;32,5;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB41637458;https://produto.mercadolivre.com.br/MLB-5695132366
43;68;ANUNCIAR JA;121105;PATINETE SKATENET KID - BANDEIRANTE;BANDEIRANTES;BRINQUEDOS;105,77;349,99;155,29;44,4;238;3,97;caindo;4;0;3;349,99;45,4;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB18610594;https://produto.mercadolivre.com.br/MLB-4089752307
44;68;SEGUNDA RODADA;126782;POTE DE VIDRO DE BOROSILICATO C/TAMPA DE VIDRO 1,6L - LYOR;LYOR;UTILIDADES DOMÉSTICAS;8,50;39,90;19,58;49,1;513;8,55;caindo;4;1;3;39,90;50,9;competir;CONFIRMADA;tem loja oficial vendendo;https://www.mercadolivre.com.br/p/MLB26643947;https://produto.mercadolivre.com.br/MLB-6284508274
45;68;ANUNCIAR JA;100111;GARRAFA TERMICA 1L CHIMARRITA PRETA 7800PRT - TERMOLAR;TERMOLAR;BAZAR;26,45;46,88;7,85;16,7;2454;40,90;caindo;6;0;3;46,88;18,2;competir;CONFIRMADA;;https://www.mercadolivre.com.br/p/MLB11427882;https://produto.mercadolivre.com.br/MLB-6434547756
46;68;ANUNCIAR JA;17722;CANETA BORRACHA MARS PLASTIC - STAEDTLER;STAEDTLER;MATERIAIS;9,92;34,90;14,47;41,5;104;1,73;estavel;1;0;1;34,90;41,5;conferir;DUVIDOSA;;https://www.mercadolivre.com.br/p/MLB24731270;https://produto.mercadolivre.com.br/MLB-3589585081
